titles,platforms,metascore,userscore,genre,date
Mini-Mech Mayhem,PlayStation 4,67,5.5,action,18-Jun-19
Vacation Simulator,PlayStation 4,75,5.4,action,18-Jun-19
Riverbond,PlayStation 4,66,5.3,action,9-Jun-19
Riverbond,Xbox One,67,5.7,action,9-Jun-19
Refunct,Switch,64,6.2,action,7-Jun-19
Hue,Switch,73,6,action,6-Jun-19
Effie,PlayStation 4,68,6.8,action,4-Jun-19
Timespinner,Switch,84,7.3,action,4-Jun-19
Gato Roboto,Switch,72,7.2,action,30-May-19
Gato Roboto,PC,79,6.7,action,30-May-19
Very Little Nightmares,iOS,53,5.3,action,30-May-19
Void Bastards,Xbox One,75,7.4,action,29-May-19
Unruly Heroes,PlayStation 4,75,7,action,28-May-19
Wonder Boy Returns Remix,Switch,65,6.3,action,23-May-19
Akane,Switch,69,7.2,action,17-May-19
RAGE 2,PlayStation 4,67,5.9,action,14-May-19
RAGE 2,Xbox One,72,6,action,14-May-19
Sniper Elite V2 Remastered,Xbox One,73,5.9,action,14-May-19
Sniper Elite V2 Remastered,Switch,62,6.9,action,14-May-19
RAGE 2,PC,73,5.5,action,13-May-19
Nintendo Labo: Toycon 04 VR Kit,Switch,71,6.5,action,12-May-19
Venture Kid,Switch,58,6.9,action,2-May-19
World War Z,PC,70,5.9,action,16-Apr-19
World War Z,PlayStation 4,67,6.2,action,16-Apr-19
World War Z,Xbox One,73,5.6,action,16-Apr-19
Immortal Legacy: The Jade Cipher,PlayStation 4,59,7.2,action,16-Apr-19
Earth Defense Force: Iron Rain,PlayStation 4,69,5.2,action,11-Apr-19
Vacation Simulator,PC,77,5.7,action,9-Apr-19
The friends of Ringo Ishikawa,Switch,64,6.6,action,3-Apr-19
Mechstermination Force,Switch,79,6.8,action,3-Apr-19
Shadow Blade: Reload,Switch,66,7.2,action,3-Apr-19
Hob: The Definitive Edition,Switch,76,7.4,action,3-Apr-19
Borderlands: Game of the Year Edition,PlayStation 4,76,6.4,action,3-Apr-19
Borderlands: Game of the Year Edition,Xbox One,80,6.8,action,3-Apr-19
FAR: Lone Sails,PlayStation 4,83,6.3,action,2-Apr-19
FAR: Lone Sails,Xbox One,84,5.8,action,2-Apr-19
Power Rangers: Battle for the Grid,PlayStation 4,65,6.2,action,2-Apr-19
AngerForce: Reloaded,Switch,73,7.2,action,1-Apr-19
METAGAL,Switch,62,6.5,action,29-Mar-19
She Remembered Caterpillars,Switch,76,7.1,action,28-Mar-19
Power Rangers: Battle for the Grid,Xbox One,53,5.3,action,26-Mar-19
Power Rangers: Battle for the Grid,Switch,62,6.1,action,26-Mar-19
Space Junkies,PC,77,5,action,21-Mar-19
Fate/Extella Link,PlayStation 4,75,6.7,action,19-Mar-19
Fate/Extella Link,Switch,74,6.7,action,19-Mar-19
Tom Clancy's The Division 2,PlayStation 4,82,6.2,action,12-Mar-19
Tom Clancy's The Division 2,Xbox One,82,5.9,action,12-Mar-19
RICO,Switch,70,6.3,action,12-Mar-19
The Wizards: Enhanced Edition,PlayStation 4,68,6,action,12-Mar-19
Kirby's Extra Epic Yarn,3DS,79,6.8,action,8-Mar-19
Move or Die,PlayStation 4,83,6.2,action,5-Mar-19
12 is Better Than 6,Switch,59,6.8,action,5-Mar-19
